,Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Date received,Date sent to company,Company response,Timely response?,Consumer disputed?
22628,1195135,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,CA,90805,1/15/2015,1/21/2015,Closed with explanation,Yes,
22629,1195100,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,VA,22039,1/15/2015,2/6/2015,Closed with non-monetary relief,Yes,
22630,1195103,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,FL,34221,1/15/2015,1/22/2015,In progress,Yes,
22631,1195134,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,CA,92507,1/15/2015,1/16/2015,Closed with explanation,Yes,
22632,1195129,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,CA,90036,1/15/2015,1/15/2015,Closed with non-monetary relief,Yes,
22633,1195119,Credit reporting,,Incorrect information on credit report,Account status,CA,94531,1/15/2015,1/28/2015,Closed with explanation,Yes,Yes
22634,1195118,Credit reporting,,Incorrect information on credit report,Account status,CA,94531,1/15/2015,1/28/2015,Closed with explanation,Yes,
22635,1195120,Credit reporting,,Incorrect information on credit report,Account status,CA,94531,1/15/2015,1/28/2015,Closed with explanation,Yes,
22636,1195179,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,NJ,8077,1/15/2015,1/15/2015,Closed with non-monetary relief,Yes,
22637,1195144,Bank account or service,Checking account,Using a debit or ATM card,,NJ,7939,1/15/2015,1/21/2015,Closed,Yes,
22638,1195139,Debt collection,Credit card,Disclosure verification of debt,Right to dispute notice not received,CA,92680,1/15/2015,1/15/2015,Closed with explanation,Yes,
22639,1195175,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,CO,80134,1/15/2015,1/15/2015,Closed with monetary relief,Yes,
22640,1195151,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,FL,33175,1/15/2015,1/15/2015,Closed with explanation,Yes,
22641,1195173,Credit card,,Other,,PA,17331,1/15/2015,1/20/2015,Closed with explanation,Yes,
